COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO,METADATOS
P7_30_4,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por… bienes o servicios para el hogar?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_30_5,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por… bienes o servicios personales?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_30_6,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por… otros pagos?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_30A,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por… Otros pagos Especifique",Varchar,100,[A_Z], 
P7_31_1,7.31 ¿Su pago por Internet ha sido con… tarjeta de débito?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_31_2,7.31 ¿Su pago por Internet ha sido con… tarjeta de crédito?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_31_3,7.31 ¿Su pago por Internet ha sido con… transferencias bancarias?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_31_4,7.31 ¿Su pago por Internet ha sido con… medios electrónicos como Paypal o Mercado pago?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_31_5,7.31 ¿Su pago por Internet ha sido con… tarjeta de regalo o un vale de prepago en línea?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_31_6,7.31 ¿Su pago por Internet ha sido con… mediante sistema de Cobro Digital (CoDi)?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_31_7,7.31 ¿Su pago por Internet ha sido con… Otro medio?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_31A,7.31 ¿Su pago por Internet ha sido con… Otro medio Especifique,Varchar,100,[A_Z], 
P7_32,"7.32 En los últimos tres meses, ¿ha hecho uso de la Banca electrónica?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_33_1,7.33 ¿Las operaciones que ha realizado en la Banca electrónica en los últimos tres meses son… consultas de saldo?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_33_2,7.33 ¿Las operaciones que ha realizado en la Banca electrónica en los últimos tres meses son… transferencias?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_33_3,"7.33 ¿Las operaciones que ha realizado en la Banca electrónica en los últimos tres meses son… pago de servicios (luz, agua, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_33_4,7.33 ¿Las operaciones que ha realizado en la Banca electrónica en los últimos tres meses son… compra de tiempo aire?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_33_5,7.33 ¿Las operaciones que ha realizado en la Banca electrónica en los últimos tres meses son… Otras operaciones bancarias?,Varchar,1,[1-2],"1 Sí, 2 No"
P7_33A,7.33 ¿Las operaciones que ha realizado en la Banca electrónica en los últimos tres meses son… Otras operaciones bancarias Especifique,Varchar,100,[A-Z], 
P7_34_1,"7.34 En los últimos 12 meses, ¿ha utilizado usted el Internet para… comunicarse con el gobierno?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_34_2,"7.34 En los últimos 12 meses, ¿ha utilizado usted el Internet para… consultar información del gobierno?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_34_3,"7.34 En los últimos 12 meses, ¿ha utilizado usted el Internet para… descargar formatos del gobierno?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_34_4,"7.34 En los últimos 12 meses, ¿ha utilizado usted el Internet para… realizar trámites del gobierno?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_34_5,"7.34 En los últimos 12 meses, ¿ha utilizado usted el Internet para… Otra interacción?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_34A,"7.34 En los últimos 12 meses, ¿ha utilizado usted el Internet para… Otra interacción Especifique",Varchar,100,[A-Z], 
P7_35_1,"7.35 En los últimos 12 meses por Internet, ¿ha realizado usted… declaración de impuestos?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_35_2,"7.35 En los últimos 12 meses por Internet, ¿ha realizado usted… gestión o solicitud de documentos personales como CURP, credencial de elector, cédula profesional, pasaporte, etcétera?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_35_3,"7.35 En los últimos 12 meses por Internet, ¿ha realizado usted… trámites de instituciones de educación pública como inscripciones, solicitud de historial académico, etcétera?",Varchar,1,[1-2],"1 Sí, 2 No"
P7_35_4,"7.35 En los últimos 12 meses por Internet, ¿ha realizado usted… citas médicas en instituciones públicas (IMSS,ISSSTE, etc.)",Varchar,1,[1-2],"1 Sí, 2 No"
P7_35_5,"7.35 En los últimos 12 meses por Internet, ¿ha realizado usted… Otros trámites",Varchar,1,[1-2],"1 Sí, 2 No"
P7_35A,"7.35 En los últimos 12 meses por Internet, ¿ha realizado usted… Otros trámites Especifique",Varchar,100,[A-Z], 
P7_36,"7.36 En los últimos 12 meses, ¿con que frecuencia ha realizado las consultas o trámites de gobierno?",Varchar,1,[1-5],"1 Mensualmente (1 o más veces al mes), 2 Bimestralmente, 3 Trimestralmente, 4 Semestralmente, 5 Anualmente"
FAC_PER,Factor,Numeric,6,[63-36045],Factor
UPM_DIS,Unidad primaria de muestreo,Varchar,5,[00001-08234],Unidad primaria de muestreo
EST_DIS,Estrato de diseño muestral,Varchar,3,[001-341],Estrato de diseño muestral
DOMINIO,Población rural y urbana,Varchar,1,"[U,R]",Población rural y urbana
TLOC,Tamaño de la Localidad,Varchar,1,[1-4],"1 100,000 y más habitantes, 2 15,000 a 99,999 habitantes, 3 2,500 a 14,999 habitantes, 4 menor a 2500 habitantes"
ESTRATO,Estrato socioeconómico,Varchar,1,[1-4],"1 Bajo, 2 Medio bajo, 3 Medio alto, 4 Alto"
PAREN,3.3 ¿Qué es (NOMBRE) del jefe(a) del hogar?,Varchar,1,[1-6],"1 Jefe(a), 2 Esposo(a) o compañero(a), 3 Hijo(a), 4 Nieto(a), 5 Otro parentesco, 6 Sin parentesco"
SEXO,3.4 (NOMBRE) es hombre (NOMBRE) es mujer,Varchar,1,[1-2],"1 Hombre, 2 Mujer"
NIVEL,3.8 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela?  Nivel,Varchar,2,"[00-11, 99]","00 Ninguno, 01 Preescolar o kínder, 02 Primaria, 03 Secundaria, 04 Normal básica, 05 Estudio técnico terminal con secundaria, 06 Preparatoria o bachillerato, 07 Estudio técnico superior con preparatoria terminada, 08 Licenciatura o ingeniería, 09 Especialidad, 10 Maestría, 11 Doctorado, 99 No sabe"
GRADO,3.8 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela? Grado,Varchar,1,[0-9], 
ENT,Entidad ,Varchar,2,[01-32],01-32 Entidad Federativa
